 format: day,hour,value location:75_136 Start : 20130101 
 1, 0000, 0.000000 
 1, 0100, 0.000000 
 1, 0200, 0.000000 
 1, 0300, 168.000000 
 1, 0400, 165.000000 
 1, 0500, 185.000000 
 1, 0600, 223.000000 
 1, 0700, 210.000000 
 1, 0800, 0.000000 
 1, 0900, 0.000000 
 1, 1000, 0.000000 
 1, 1100, -1.000000 
 1, 1200, -1.000000 
 1, 1300, -1.000000 
 1, 1400, 299.000000 
 1, 1500, 295.000000 
 1, 1600, 315.000000 
 1, 1700, 304.000000 
 1, 1800, 307.000000 
 1, 1900, 247.000000 
 1, 2000, 238.000000 
 1, 2100, 261.000000 
 1, 2200, 126.000000 
 1, 2300, 63.000000 
 2, 0000, 220.000000 
 2, 0100, 209.000000 
 2, 0200, 162.000000 
 2, 0300, 304.000000 
 2, 0400, 267.000000 
 2, 0500, 274.000000 
 2, 0600, 283.000000 
 2, 0700, 305.000000 
 2, 0800, 227.000000 
 2, 0900, 186.000000 
 2, 1000, 320.000000 
 2, 1100, -1.000000 
 2, 1200, -1.000000 
 2, 1300, -1.000000 
 2, 1400, 0.000000 
 2, 1500, 0.000000 
 2, 1600, 0.000000 
 2, 1700, 0.000000 
 2, 1800, 0.000000 
 2, 1900, 0.000000 
 2, 2000, 0.000000 
 2, 2100, 0.000000 
 2, 2200, 0.000000 
 2, 2300, 0.000000 
 3, 0000, 0.000000 
 3, 0100, 0.000000 
 3, 0200, 0.000000 
 3, 0300, 158.000000 
 3, 0400, 232.000000 
 3, 0500, 197.000000 
 3, 0600, 253.000000 
 3, 0700, 229.000000 
 3, 0800, 189.000000 
 3, 0900, 0.000000 
 3, 1000, 0.000000 
 3, 1100, -1.000000 
 3, 1200, -1.000000 
 3, 1300, -1.000000 
 3, 1400, 0.000000 
 3, 1500, 0.000000 
 3, 1600, 0.000000 
 3, 1700, 0.000000 
 3, 1800, 0.000000 
 3, 1900, 0.000000 
 3, 2000, 0.000000 
 3, 2100, 0.000000 
 3, 2200, 0.000000 
 3, 2300, 0.000000 
 4, 0000, 0.000000 
 4, 0100, 0.000000 
 4, 0200, 165.000000 
 4, 0300, 204.000000 
 4, 0400, 149.000000 
 4, 0500, 143.000000 
 4, 0600, 244.000000 
 4, 0700, 250.000000 
 4, 0800, 0.000000 
 4, 0900, 0.000000 
 4, 1000, 0.000000 
 4, 1100, -1.000000 
 4, 1200, -1.000000 
 4, 1300, -1.000000 
 4, 1400, 0.000000 
 4, 1500, 0.000000 
 4, 1600, 0.000000 
 4, 1700, 0.000000 
 4, 1800, 0.000000 
 4, 1900, 0.000000 
 4, 2000, 0.000000 
 4, 2100, 0.000000 
 4, 2200, 0.000000 
 4, 2300, 0.000000 
 5, 0000, 0.000000 
 5, 0100, 167.000000 
 5, 0200, 225.000000 
 5, 0300, 163.000000 
 5, 0400, 139.000000 
 5, 0500, 149.000000 
 5, 0600, 146.000000 
 5, 0700, 255.000000 
 5, 0800, 144.000000 
 5, 0900, 0.000000 
 5, 1000, 0.000000 
 5, 1100, -1.000000 
 5, 1200, -1.000000 
 5, 1300, -1.000000 
 5, 1400, 0.000000 
 5, 1500, 0.000000 
 5, 1600, 0.000000 
 5, 1700, 0.000000 
 5, 1800, 0.000000 
 5, 1900, 0.000000 
 5, 2000, 0.000000 
 5, 2100, 0.000000 
 5, 2200, 0.000000 
 5, 2300, 0.000000 
 6, 0000, 0.000000 
 6, 0100, 0.000000 
 6, 0200, 150.000000 
 6, 0300, 158.000000 
 6, 0400, 168.000000 
 6, 0500, 168.000000 
 6, 0600, 245.000000 
 6, 0700, 246.000000 
 6, 0800, 180.000000 
 6, 0900, 0.000000 
 6, 1000, 0.000000 
 6, 1100, -1.000000 
 6, 1200, -1.000000 
 6, 1300, -1.000000 
 6, 1400, 0.000000 
 6, 1500, 0.000000 
 6, 1600, 0.000000 
 6, 1700, 0.000000 
 6, 1800, 0.000000 
 6, 1900, 0.000000 
 6, 2000, 0.000000 
 6, 2100, 0.000000 
 6, 2200, 0.000000 
 6, 2300, 0.000000 
 7, 0000, 0.000000 
 7, 0100, 0.000000 
 7, 0200, 0.000000 
 7, 0300, 141.000000 
 7, 0400, 0.000000 
 7, 0500, 189.000000 
 7, 0600, 205.000000 
 7, 0700, 216.000000 
 7, 0800, 180.000000 
 7, 0900, 0.000000 
 7, 1000, 0.000000 
 7, 1100, -1.000000 
 7, 1200, -1.000000 
 7, 1300, -1.000000 
 7, 1400, 0.000000 
 7, 1500, 0.000000 
 7, 1600, 0.000000 
 7, 1700, 0.000000 
 7, 1800, 0.000000 
 7, 1900, 0.000000 
 7, 2000, 0.000000 
 7, 2100, 0.000000 
 7, 2200, 0.000000 
 7, 2300, 309.000000 
 8, 0000, 240.000000 
 8, 0100, 0.000000 
 8, 0200, 234.000000 
 8, 0300, 149.000000 
 8, 0400, 169.000000 
 8, 0500, 206.000000 
 8, 0600, 162.000000 
 8, 0700, 123.000000 
 8, 0800, 90.000000 
 8, 0900, 0.000000 
 8, 1000, 0.000000 
 8, 1100, -1.000000 
 8, 1200, -1.000000 
 8, 1300, -1.000000 
 8, 1400, 0.000000 
 8, 1500, 330.000000 
 8, 1600, 0.000000 
 8, 1700, 0.000000 
 8, 1800, 0.000000 
 8, 1900, 0.000000 
 8, 2000, 0.000000 
 8, 2100, 158.000000 
 8, 2200, 270.000000 
 8, 2300, 0.000000 
 9, 0000, 0.000000 
 9, 0100, 0.000000 
 9, 0200, 126.000000 
 9, 0300, 171.000000 
 9, 0400, 191.000000 
 9, 0500, 177.000000 
 9, 0600, 195.000000 
 9, 0700, 159.000000 
 9, 0800, 156.000000 
 9, 0900, 262.000000 
 9, 1000, 0.000000 
 9, 1100, -1.000000 
 9, 1200, -1.000000 
 9, 1300, -1.000000 
 9, 1400, 0.000000 
 9, 1500, 0.000000 
 9, 1600, 0.000000 
 9, 1700, 0.000000 
 9, 1800, 0.000000 
 9, 1900, 0.000000 
 9, 2000, 0.000000 
 9, 2100, 0.000000 
 9, 2200, 0.000000 
 9, 2300, 0.000000 
 10, 0000, 0.000000 
 10, 0100, 0.000000 
 10, 0200, 100.000000 
 10, 0300, 115.000000 
 10, 0400, 94.000000 
 10, 0500, 99.000000 
 10, 0600, 146.000000 
 10, 0700, 130.000000 
 10, 0800, 0.000000 
 10, 0900, 0.000000 
 10, 1000, 256.000000 
 10, 1100, -1.000000 
 10, 1200, -1.000000 
 10, 1300, -1.000000 
 10, 1400, 0.000000 
 10, 1500, 0.000000 
 10, 1600, 0.000000 
 10, 1700, 0.000000 
 10, 1800, 0.000000 
 10, 1900, 0.000000 
 10, 2000, 0.000000 
 10, 2100, 0.000000 
 10, 2200, 249.000000 
 10, 2300, 0.000000 
 11, 0000, 0.000000 
 11, 0100, 0.000000 
 11, 0200, 165.000000 
 11, 0300, 114.000000 
 11, 0400, 90.000000 
 11, 0500, 101.000000 
 11, 0600, 120.000000 
 11, 0700, 86.000000 
 11, 0800, 0.000000 
 11, 0900, 0.000000 
 11, 1000, 250.000000 
 11, 1100, -1.000000 
 11, 1200, -1.000000 
 11, 1300, -1.000000 
 11, 1400, 0.000000 
 11, 1500, 0.000000 
 11, 1600, 0.000000 
 11, 1700, 0.000000 
 11, 1800, 0.000000 
 11, 1900, 0.000000 
 11, 2000, 0.000000 
 11, 2100, 0.000000 
 11, 2200, 55.000000 
 11, 2300, 0.000000 
 12, 0000, 0.000000 
 12, 0100, 0.000000 
 12, 0200, 260.000000 
 12, 0300, 244.000000 
 12, 0400, 149.000000 
 12, 0500, 218.000000 
 12, 0600, 250.000000 
 12, 0700, 173.000000 
 12, 0800, 108.000000 
 12, 0900, 110.000000 
 12, 1000, 149.000000 
 12, 1100, -1.000000 
 12, 1200, -1.000000 
 12, 1300, -1.000000 
 12, 1400, 0.000000 
 12, 1500, 0.000000 
 12, 1600, 0.000000 
 12, 1700, 0.000000 
 12, 1800, 0.000000 
