 format: day,hour,value location:68_102 Start : 20130101 
 1, 0000, 0.000000 
 1, 0100, 0.000000 
 1, 0200, 0.000000 
 1, 0300, 223.000000 
 1, 0400, 239.000000 
 1, 0500, 332.000000 
 1, 0600, 292.000000 
 1, 0700, 180.000000 
 1, 0800, 249.000000 
 1, 0900, 193.000000 
 1, 1000, 0.000000 
 1, 1100, -1.000000 
 1, 1200, -1.000000 
 1, 1300, -1.000000 
 1, 1400, 229.000000 
 1, 1500, 199.000000 
 1, 1600, 0.000000 
 1, 1700, 281.000000 
 1, 1800, 12.000000 
 1, 1900, 360.000000 
 1, 2000, 4.000000 
 1, 2100, 11.000000 
 1, 2200, 360.000000 
 1, 2300, 315.000000 
 2, 0000, 0.000000 
 2, 0100, 360.000000 
 2, 0200, 3.000000 
 2, 0300, 39.000000 
 2, 0400, 338.000000 
 2, 0500, 17.000000 
 2, 0600, 20.000000 
 2, 0700, 35.000000 
 2, 0800, 73.000000 
 2, 0900, 0.000000 
 2, 1000, 0.000000 
 2, 1100, -1.000000 
 2, 1200, -1.000000 
 2, 1300, -1.000000 
 2, 1400, 0.000000 
 2, 1500, 0.000000 
 2, 1600, 0.000000 
 2, 1700, 0.000000 
 2, 1800, 0.000000 
 2, 1900, 225.000000 
 2, 2000, 301.000000 
 2, 2100, 0.000000 
 2, 2200, 0.000000 
 2, 2300, 0.000000 
 3, 0000, 0.000000 
 3, 0100, 98.000000 
 3, 0200, 267.000000 
 3, 0300, 273.000000 
 3, 0400, 340.000000 
 3, 0500, 294.000000 
 3, 0600, 330.000000 
 3, 0700, 225.000000 
 3, 0800, 52.000000 
 3, 0900, 0.000000 
 3, 1000, 0.000000 
 3, 1100, -1.000000 
 3, 1200, -1.000000 
 3, 1300, -1.000000 
 3, 1400, 0.000000 
 3, 1500, 0.000000 
 3, 1600, 0.000000 
 3, 1700, 0.000000 
 3, 1800, 0.000000 
 3, 1900, 0.000000 
 3, 2000, 0.000000 
 3, 2100, 0.000000 
 3, 2200, 0.000000 
 3, 2300, 0.000000 
 4, 0000, 0.000000 
 4, 0100, 0.000000 
 4, 0200, 126.000000 
 4, 0300, 0.000000 
 4, 0400, 39.000000 
 4, 0500, 90.000000 
 4, 0600, 26.000000 
 4, 0700, 81.000000 
 4, 0800, 0.000000 
 4, 0900, 0.000000 
 4, 1000, 0.000000 
 4, 1100, -1.000000 
 4, 1200, -1.000000 
 4, 1300, -1.000000 
 4, 1400, 0.000000 
 4, 1500, 0.000000 
 4, 1600, 0.000000 
 4, 1700, 0.000000 
 4, 1800, 0.000000 
 4, 1900, 0.000000 
 4, 2000, 0.000000 
 4, 2100, 0.000000 
 4, 2200, 0.000000 
 4, 2300, 0.000000 
 5, 0000, 0.000000 
 5, 0100, 0.000000 
 5, 0200, 0.000000 
 5, 0300, 0.000000 
 5, 0400, 276.000000 
 5, 0500, 126.000000 
 5, 0600, 306.000000 
 5, 0700, 36.000000 
 5, 0800, 330.000000 
 5, 0900, 0.000000 
 5, 1000, 0.000000 
 5, 1100, -1.000000 
 5, 1200, -1.000000 
 5, 1300, -1.000000 
 5, 1400, 0.000000 
 5, 1500, 0.000000 
 5, 1600, 0.000000 
 5, 1700, 0.000000 
 5, 1800, 0.000000 
 5, 1900, 0.000000 
 5, 2000, 0.000000 
 5, 2100, 0.000000 
 5, 2200, 0.000000 
 5, 2300, 0.000000 
 6, 0000, 0.000000 
 6, 0100, 0.000000 
 6, 0200, 355.000000 
 6, 0300, 256.000000 
 6, 0400, 244.000000 
 6, 0500, 254.000000 
 6, 0600, 334.000000 
 6, 0700, 53.000000 
 6, 0800, 0.000000 
 6, 0900, 0.000000 
 6, 1000, 0.000000 
 6, 1100, -1.000000 
 6, 1200, -1.000000 
 6, 1300, -1.000000 
 6, 1400, 0.000000 
 6, 1500, 0.000000 
 6, 1600, 0.000000 
 6, 1700, 0.000000 
 6, 1800, 0.000000 
 6, 1900, 0.000000 
 6, 2000, 0.000000 
 6, 2100, 0.000000 
 6, 2200, 0.000000 
 6, 2300, 0.000000 
 7, 0000, 0.000000 
 7, 0100, 54.000000 
 7, 0200, 70.000000 
 7, 0300, 283.000000 
 7, 0400, 222.000000 
 7, 0500, 0.000000 
 7, 0600, 319.000000 
 7, 0700, 8.000000 
 7, 0800, 0.000000 
 7, 0900, 170.000000 
 7, 1000, 0.000000 
 7, 1100, -1.000000 
 7, 1200, -1.000000 
 7, 1300, -1.000000 
 7, 1400, 0.000000 
 7, 1500, 0.000000 
 7, 1600, 0.000000 
 7, 1700, 0.000000 
 7, 1800, 0.000000 
 7, 1900, 0.000000 
 7, 2000, 0.000000 
 7, 2100, 0.000000 
 7, 2200, 0.000000 
 7, 2300, 0.000000 
 8, 0000, 0.000000 
 8, 0100, 0.000000 
 8, 0200, 0.000000 
 8, 0300, 259.000000 
 8, 0400, 11.000000 
 8, 0500, 7.000000 
 8, 0600, 360.000000 
 8, 0700, 33.000000 
 8, 0800, 26.000000 
 8, 0900, 0.000000 
 8, 1000, 0.000000 
 8, 1100, -1.000000 
 8, 1200, -1.000000 
 8, 1300, -1.000000 
 8, 1400, 0.000000 
 8, 1500, 0.000000 
 8, 1600, 0.000000 
 8, 1700, 0.000000 
 8, 1800, 270.000000 
 8, 1900, 0.000000 
 8, 2000, 0.000000 
 8, 2100, 0.000000 
 8, 2200, 286.000000 
 8, 2300, 270.000000 
 9, 0000, 0.000000 
 9, 0100, 297.000000 
 9, 0200, 349.000000 
 9, 0300, 285.000000 
 9, 0400, 307.000000 
 9, 0500, 360.000000 
 9, 0600, 342.000000 
 9, 0700, 49.000000 
 9, 0800, 30.000000 
 9, 0900, 225.000000 
 9, 1000, 0.000000 
 9, 1100, -1.000000 
 9, 1200, -1.000000 
 9, 1300, -1.000000 
 9, 1400, 0.000000 
 9, 1500, 0.000000 
 9, 1600, 0.000000 
 9, 1700, 0.000000 
 9, 1800, 0.000000 
 9, 1900, 0.000000 
 9, 2000, 0.000000 
 9, 2100, 0.000000 
 9, 2200, 0.000000 
 9, 2300, 0.000000 
 10, 0000, 0.000000 
 10, 0100, 225.000000 
 10, 0200, 307.000000 
 10, 0300, 286.000000 
 10, 0400, 288.000000 
 10, 0500, 123.000000 
 10, 0600, 337.000000 
 10, 0700, 41.000000 
 10, 0800, 53.000000 
 10, 0900, 0.000000 
 10, 1000, 0.000000 
 10, 1100, -1.000000 
 10, 1200, -1.000000 
 10, 1300, -1.000000 
 10, 1400, 0.000000 
 10, 1500, 0.000000 
 10, 1600, 0.000000 
 10, 1700, 0.000000 
 10, 1800, 0.000000 
 10, 1900, 0.000000 
 10, 2000, 0.000000 
 10, 2100, 195.000000 
 10, 2200, 0.000000 
 10, 2300, 0.000000 
 11, 0000, 0.000000 
 11, 0100, 90.000000 
 11, 0200, 0.000000 
 11, 0300, 238.000000 
 11, 0400, 219.000000 
 11, 0500, 120.000000 
 11, 0600, 12.000000 
 11, 0700, 360.000000 
 11, 0800, 36.000000 
 11, 0900, 0.000000 
 11, 1000, 0.000000 
 11, 1100, -1.000000 
 11, 1200, -1.000000 
 11, 1300, -1.000000 
 11, 1400, 0.000000 
 11, 1500, 282.000000 
 11, 1600, 0.000000 
 11, 1700, 0.000000 
 11, 1800, 0.000000 
 11, 1900, 0.000000 
 11, 2000, 0.000000 
 11, 2100, 0.000000 
 11, 2200, 80.000000 
 11, 2300, 0.000000 
 12, 0000, 0.000000 
 12, 0100, 0.000000 
 12, 0200, 236.000000 
 12, 0300, 289.000000 
 12, 0400, 262.000000 
 12, 0500, 246.000000 
 12, 0600, 216.000000 
 12, 0700, 219.000000 
 12, 0800, 225.000000 
 12, 0900, 255.000000 
 12, 1000, 0.000000 
 12, 1100, -1.000000 
 12, 1200, -1.000000 
 12, 1300, -1.000000 
 12, 1400, 0.000000 
 12, 1500, 0.000000 
 12, 1600, 0.000000 
 12, 1700, 0.000000 
 12, 1800, 0.000000 
